,体験受入法人等,代表者,所在地,ホームページ,売上高,従業員数,経営主作目・事業内容,経営理念と将来の事業展開・ビジョン,有機農業に対する考えや取り組み,作物種別,体験可能作目,体験場所,体験担当者,受入可能時期と内容,1回の受入可能期間,高校生の受入,社会人の週末等コースの受入,提供できる住居,食事提供の方法,採用計画,アクセス,自動車免許,服装など準備すべき物,登録にあたっての考え,参加者の目的で重視すること,メッセージ：どんなことを学べるか
0,（有）あきよしファーム,吉井　弘三,北海道空知郡奈井江町字美唄原野,http://akiyoshi-farm.jp/,"3,500万円",3人,水稲、大豆、小麦、露地野菜、施設野菜、ファームステイ受入、直売所に出荷,旅行会社と共同出資し、販売会社設立、事務所兼研修施設を設立し、積極的にファームステイ受入、JA以外に直売所に出荷,有機農業の必要性を理解し、土作りには堆肥を使用し、畑には鶏糞、米ぬか等を使用し、輪作体系を実施しております。,ブロッコリー、ピーマン、パプリカ、ポップコーン、大豆、お米、他,ブロッコリー、ピーマン、パプリカ、ポップコーン、大豆、お米、他,,吉井弘三,通年可能：野菜の収穫・出荷。冬期間は雪の下キャベツの直売所への出荷,2日日〜,可,可,その他　事務所兼研修施設に宿泊,経営者等家族と一緒,有,JR美唄駅までお出迎え致します,,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,将来の夢・目標を持っている人
1,阿部牧場,阿部　伸一郎,北海道河東郡音更町南住吉台,,"20,000万円",7人,酪農、畑作、複合経営,自然循環農業、環境に優しい農業,実践中,酪農、畑作,酪農、畑作,,場長,通年可能：農作業全般,2日日〜,可,可,社宅・寮等,自炊（食費補助）,有,帯広駅,なくても可,農作業に適した服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,誠実、やる気
2,（有）伊藤畜産,伊藤　泰通,北海道根室市明郷,http://www.nemuro-footpath.com/gyuu/,"20,300万円",14人,酪農、肉用牛、飲食店、観光農業,根室の風土に合った粗飼料・牧草を100%自給、飽食させ牛乳を生産しております。また、それらを理解して頂くため、自社生産物を使用したファームレストラン、家畜動物園、築拓キャンプ場を運営。食と心に貢献するを企業を目指します。,取組んでいない,酪農、肉用牛、観光,酪農、肉用牛、観光,,伊藤泰通,通年可能：搾乳を含めた酪農作業全般、店舗での業務全般。,2日日〜,可,不可,社宅・寮等,自炊（食費補助）,有,JR根室本線厚床駅,,作業服貸与、温かい服装,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,何事にも積極的に取り組んでいただける方
3,（株）エクワインレーシング,瀬瀬　賢,北海道勇払郡むかわ町米原,http://equineracing.jp/,"16,000万円",13人,競走馬育成、休養、販売,競馬の発展に貢献する,,厩舎作業（馬房そうじ、厩舎そうじ）,厩舎作業（馬房そうじ、厩舎そうじ）,,福田　真奈,通年可能,3日日〜,可,可,社宅・寮等,その他　近所のコンビニやスーパーで購入,無,JR鵡川駅,必要,作業に適した服装（ジーンズ）、長靴,農業体験・理解者の増加,農業体験、就職先検討,体力・気力・清潔感のある人
4,（株）esaki,江_　佑,北海道夕張郡長沼町,https://www.esaki-family.com/,"2,400万円",4人,ブルーベリー、ハスカップ、苺、ブロッコリー、スイートコーン、カボチャ、ピーマン,ベリー園の観光農園化を計画中。ジャム工房も準備中。田舎の空気を都会の方に楽しんでもらいたい、それが一番の想いです。,,ブルーベリー、カボチャ、ブロッコリー、スイートコーン他,ブルーベリー、カボチャ、ブロッコリー、スイートコーン他,,江_　佑,7月～11月：露地野菜（ブロッコリー、カボチャ、スイートコーン）の収穫・袋詰、小果樹（ブルーベリー、ハスカップ）の管理、イチゴの定植等,2日日〜,可,可,社宅・寮等,経営者等家族と一緒,有,JR栗山駅、JR野幌駅、JR北広島駅,,農作業に適した服装、長靴,農業体験・理解者の増加,農業体験,自分で目標を決めて、達成しようとする人
5,（有）NKファーム,中原　浩一,北海道上川郡和寒町松岡361番地,http://nkfarm.jp/,12000万円,10人,水稲・大豆・麦・南瓜・キャベツ・馬鈴薯・スイートコーン・トマト・ミニトマト・ナス・キュウリ・ピーマン等施設野菜,儲かる農業へ、多様な農業経営,野菜には堆肥導入、減肥に取組,水稲・麦・大豆・南瓜・キャベツ・スイートコーン他トマト等施設野菜,水稲・麦・大豆・南瓜・キャベツ・スイートコーン他トマト等施設野菜,当社農地他,中原　裕也,通年可能：春～秋は上記野菜等。冬は越冬キャベツ,5日日〜,可,可,その他　その他（研修施設）,その他　経営者等家族と一緒・自炊（食費補助）,有,,必要,,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,やる気ある人であれば
6,（有）大塚ファーム,大塚　裕樹,北海道石狩郡新篠津村,http://www.otsukafarm.com/,"13,000万円",20人,有機農産物の生産、加工、販売、野菜（ミニトマト・大根・ハーブ）,入植104年の農家です。200年に向け持続可能な農業を若い力で行っています。,平成9年より有機農業に取り組んでいます,夏季：ミニトマト、大根、ハーブ、冬季：ほしいも加工,夏季：ミニトマト、大根、ハーブ、冬季：ほしいも加工,,大塚早苗,通年可能：有機農産物の生産、加工、販売、4月～11月：22品目の有機野菜の栽培全般、11月～3月：ほしいもの加工,5日日〜,可,可,社宅・寮等 　社宅・寮等、経営者宅に間借り,経営者等家族と一緒,有,江別駅、当別駅,,長靴、雨合羽,農業体験・理解者の増加,農業体験、就職先検討,前向きに積極的に農業を体験してくれる方
7,（有）澤田農場,澤田　篤史,北海道斜里郡清里町字上斜里,,"14,000万円",3人,肉用繁殖、畑作,食品製造を行い、ICT技術の導入と家畜改良に力を入れています。,,牛舎作業、トラクター、豆腐製造,牛舎作業、トラクター、豆腐製造,,澤田　篤史,通年可能,4日日〜,可,可,社宅・寮等,自炊（食材提供）,有,JR清里町駅から車で10分,必要,,従業員の確保,就職先検討,学ぶ姿勢をもつこと
8,イオンアグリ創造（株）北海道三笠農場,福永　庸明,北海道三笠市清住町,http://www.aeon.jp/agricreate/,非公表,550人,ブロッコリー、枝豆、とうもろこし、メロン、ミニトマト、きゅうり、コマツナ、ほうれん草,安全・安心、お手頃価格、新鮮な野菜をイオンに安定供給することでお客さま満足の向上を目指しています。今後もイオン直営農場を全国に展開していきます。,特になし,経営作目と同（時期により変更あり）,経営作目と同（時期により変更あり）,,山貫　伸一郎,4～9月,5日日〜,可,可,,その他　その他（1日1000円の食費補助）,無,JR函館本線「岩見沢駅」→中央バス「岩見沢バスターミナル」（幾春別線）→「清住町」下車徒歩3分,必要,長靴、カッパなどの雨具、帽子、タオル、水筒など,農業体験・理解者の増加,農業体験,大規模農業に関心がある方、チームで仕事ができる方
9,（有）サンライズ,古田　英一,北海道足寄郡陸別町字トマム,http://sunrise.tank.jp,"47,000万円",25人,酪農、畜産,全員の幸せと、心の豊かさの向上に努力する会社,,酪農、畜産,酪農、畜産,,古田雅俊,通年可能：搾乳、除糞、哺乳作業,3日日〜,不可,可,社宅・寮等 　コンテナハウス、社宅,自炊（食費補助）,有,女満別空港よりバスで陸別町,,なし,農業体験・理解者の増加、従業員の確保、体験生の確保,農業体験、就職先検討,明るく元気な人
